City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Estelle,US,2021-10-21 19:11:28,29.8458,-90.1067,89.6,67,75,5.75
68,Vao,NC,2021-10-21 19:11:29,-22.6667,167.4833,70.79,83,100,11.52
69,Kodiak,US,2021-10-21 19:09:39,57.79,-152.4072,38.71,81,90,5.75
70,Constitucion,CL,2021-10-21 19:11:29,-35.3333,-72.4167,60.85,71,100,18.23
71,Atuona,PF,2021-10-21 19:11:30,-9.8,-139.0333,78.26,77,8,21.54
72,Oranjemund,NA,2021-10-21 19:11:30,-28.55,16.4333,58.35,82,0,8.7
73,Ulladulla,AU,2021-10-21 19:11:31,-35.35,150.4667,57.87,92,72,1.77
74,Quatre Cocos,MU,2021-10-21 19:11:31,-20.2078,57.7625,74.08,82,23,9.26
75,Mount Isa,AU,2021-10-21 19:11:32,-20.7333,139.5,67.77,73,0,0.0
76,Thompson,CA,2021-10-21 19:11:32,55.7435,-97.8558,34.12,71,100,5.66
77,Upernavik,GL,2021-10-21 19:08:17,72.7868,-56.1549,19.06,85,92,8.14
78,Guerrero Negro,MX,2021-10-21 19:11:32,27.9769,-114.0611,74.5,62,2,9.46
79,Leningradskiy,RU,2021-10-21 19:11:33,69.3833,178.4167,15.8,90,100,17.38
80,Cherskiy,RU,2021-10-21 19:11:33,68.75,161.3,5.2,97,100,5.23
81,Jamestown,US,2021-10-21 19:11:34,42.097,-79.2353,70.09,80,90,5.99
82,Lebu,CL,2021-10-21 19:11:34,-37.6167,-73.65,54.19,65,3,18.07
83,Zhanaozen,KZ,2021-10-21 19:08:00,43.3,52.8,43.38,68,20,7.94
84,Port Elizabeth,ZA,2021-10-21 19:09:39,-33.918,25.5701,67.1,81,100,15.57
85,Yerbogachen,RU,2021-10-21 19:11:35,61.2767,108.0108,33.15,92,100,7.67
86,La Plata,AR,2021-10-21 19:11:35,-34.9215,-57.9545,82.31,44,0,6.93
87,Tecoanapa,MX,2021-10-21 19:11:36,16.5167,-98.75,85.46,66,33,8.66
88,Hilo,US,2021-10-21 19:11:36,19.7297,-155.09,79.25,69,1,3.44
89,Kerema,PG,2021-10-21 19:11:37,-7.9631,145.7785,76.5,90,75,2.59
90,Hithadhoo,MV,2021-10-21 19:11:37,-0.6,73.0833,80.65,78,100,8.97
91,Acapulco,MX,2021-10-21 19:11:38,16.8634,-99.8901,87.62,70,90,3.44
92,Mashhad,IR,2021-10-21 19:07:00,36.297,59.6062,44.74,76,90,9.22
93,Mian Channun,PK,2021-10-21 19:11:38,30.44,72.3543,74.82,26,3,7.25
94,Brigantine,US,2021-10-21 19:11:39,39.4101,-74.3646,81.03,62,1,12.66
95,Dankov,RU,2021-10-21 19:11:39,53.2515,39.1555,51.35,64,100,18.92
96,Santana Do Acarau,BR,2021-10-21 19:11:39,-3.4606,-40.2122,89.37,45,100,10.09
97,Talnakh,RU,2021-10-21 19:11:40,69.4865,88.3972,24.33,97,100,3.44
98,Airai,TL,2021-10-21 19:11:40,-8.9266,125.4092,64.33,61,73,2.15
99,Kulhudhuffushi,MV,2021-10-21 19:11:41,6.6221,73.07,80.69,80,80,8.28
100,Cape Town,ZA,2021-10-21 19:09:39,-33.9258,18.4232,64.09,59,100,10.0
101,Umm Kaddadah,SD,2021-10-21 19:11:41,13.6017,26.6876,87.82,20,100,15.46
102,Kieta,PG,2021-10-21 19:11:42,-6.2167,155.6333,77.83,84,50,2.8
103,Yelizovo,RU,2021-10-21 19:11:42,53.1873,158.3805,17.74,67,0,8.95
104,Ketchikan,US,2021-10-21 19:11:43,55.3422,-131.6461,55.87,62,90,17.27
105,Port Hedland,AU,2021-10-21 19:11:43,-20.3167,118.5667,64.45,82,0,5.75
106,Banjarmasin,ID,2021-10-21 19:11:44,-3.3244,114.591,75.92,91,100,2.59
107,Nanortalik,GL,2021-10-21 19:11:44,60.1432,-45.2371,41.4,41,100,7.61
108,Henties Bay,NA,2021-10-21 19:11:44,-22.116,14.2845,60.85,90,0,2.86
109,Haines Junction,CA,2021-10-21 19:11:45,60.7522,-137.5108,35.87,88,100,4.29
110,East London,ZA,2021-10-21 19:11:45,-33.0153,27.9116,71.38,77,100,15.05
111,Port Hardy,CA,2021-10-21 19:11:46,50.6996,-127.4199,50.74,90,100,35.41
112,Dikson,RU,2021-10-21 19:11:46,73.5069,80.5464,23.43,71,100,10.29
113,Santa Rosa,PH,2021-10-21 19:11:46,14.3122,121.1114,78.1,86,93,4.14
114,Tuktoyaktuk,CA,2021-10-21 19:11:45,69.4541,-133.0374,28.13,87,100,7.72
115,Hurghada,EG,2021-10-21 19:10:56,27.2574,33.8129,75.78,46,7,20.4
116,Yellowknife,CA,2021-10-21 19:11:47,62.456,-114.3525,45.28,82,4,18.01
117,San Jeronimo,PE,2021-10-21 19:11:47,-11.9472,-75.2829,71.44,29,86,7.7
118,Ponta Do Sol,PT,2021-10-21 19:11:48,32.6667,-17.1,72.23,47,3,6.2
119,Klaksvik,FO,2021-10-21 19:11:48,62.2266,-6.589,41.92,61,99,35.16
120,Kitimat,CA,2021-10-21 19:11:49,54.0524,-128.6534,45.91,27,100,1.01
121,Luderitz,NA,2021-10-21 19:11:49,-26.6481,15.1594,58.53,79,63,11.65
122,Boca Do Acre,BR,2021-10-21 19:11:49,-8.7522,-67.3978,87.6,58,100,3.06
123,Necochea,AR,2021-10-21 19:11:50,-38.5473,-58.7368,85.03,48,21,15.79
124,Tuatapere,NZ,2021-10-21 19:07:28,-46.1333,167.6833,42.08,84,5,3.47
125,La Baule-Escoublac,FR,2021-10-21 19:11:51,47.2922,-2.364,54.88,83,90,9.22
126,Ribeira Grande,PT,2021-10-21 19:11:51,38.5167,-28.7,70.2,73,40,8.05
127,Pisco,PE,2021-10-21 19:11:52,-13.7,-76.2167,68.05,68,0,6.91
128,Piracuruca,BR,2021-10-21 19:11:52,-3.9281,-41.7092,89.33,48,85,10.96
129,Esperance,AU,2021-10-21 19:11:53,-33.8667,121.9,55.24,83,32,12.95
130,Narsaq,GL,2021-10-21 19:11:53,60.9167,-46.05,37.8,36,100,3.2
131,Iqaluit,CA,2021-10-21 19:11:54,63.7506,-68.5145,32.7,80,100,4.0
132,Nizhnevartovsk,RU,2021-10-21 19:11:54,60.9344,76.5531,41.02,75,75,8.95
133,Acajutla,SV,2021-10-21 19:11:55,13.5928,-89.8275,84.2,71,35,7.92
134,Samarai,PG,2021-10-21 19:11:55,-10.6167,150.6667,80.35,75,71,9.62
135,Margate,GB,2021-10-21 19:11:56,51.3813,1.3862,48.69,61,12,4.0
136,Tessalit,ML,2021-10-21 19:07:46,20.1986,1.0114,85.1,17,0,7.63
137,Gushikawa,JP,2021-10-21 19:11:56,26.3544,127.8686,70.83,90,90,10.36
138,Iranshahr,IR,2021-10-21 19:11:56,27.2025,60.6848,79.07,27,0,6.04
139,Chokurdakh,RU,2021-10-21 19:11:57,70.6333,147.9167,-14.03,95,99,4.14
140,Bone,DE,2021-10-21 19:11:57,51.9669,12.1396,48.38,81,90,18.81
141,Torbay,CA,2021-10-21 19:11:58,47.6666,-52.7314,52.57,75,74,10.0
