City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Richards Bay,ZA,-28.783,32.0377,66.99,78,96,7.0,overcast clouds
80,Ribeira Grande,PT,38.5167,-28.7,68.4,73,20,17.27,few clouds
81,Emerald,AU,-23.5333,148.1667,71.98,56,30,10.33,scattered clouds
82,Basco,PH,20.4487,121.9702,80.17,69,47,22.15,scattered clouds
83,Irbeyskoye,RU,55.6428,95.4522,29.53,63,85,5.59,overcast clouds
84,Sao Filipe,CV,14.8961,-24.4956,79.43,75,68,8.48,broken clouds
85,Kaitangata,NZ,-46.2817,169.8464,48.36,94,42,1.07,scattered clouds
86,Barrow,US,71.2906,-156.7887,19.42,79,90,9.22,overcast clouds
87,Tasiilaq,GL,65.6145,-37.6368,32.16,63,31,4.81,scattered clouds
88,Roma,US,43.2128,-75.4557,59.67,66,1,8.05,clear sky
89,Ahipara,NZ,-35.1667,173.1667,58.96,85,100,4.81,light rain
90,Isangel,VU,-19.55,169.2667,75.58,89,100,7.7,overcast clouds
91,Leh,IN,34.1667,77.5833,26.31,61,17,3.06,few clouds
92,Tsabong,BW,-26.0217,22.401,67.78,68,100,4.54,overcast clouds
93,Castro,BR,-24.7911,-50.0119,70.39,74,87,6.24,overcast clouds
94,Trincomalee,LK,8.5711,81.2335,81.72,75,100,5.59,overcast clouds
95,Hobart,AU,-42.8794,147.3294,59.25,64,92,3.0,overcast clouds
96,Port Elizabeth,ZA,-33.918,25.5701,67.1,88,75,6.91,thunderstorm with light rain
97,Bafra,TR,41.5678,35.9069,56.82,82,0,2.46,clear sky
98,Saint George,US,37.1041,-113.5841,61.27,46,1,4.0,clear sky
99,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.97,59,6,10.22,clear sky
100,Faanui,PF,-16.4833,-151.75,78.96,79,73,6.6,light rain
101,Margate,GB,51.3813,1.3862,59.04,83,91,1.99,overcast clouds
102,Kavieng,PG,-2.5744,150.7967,80.91,80,20,10.89,moderate rain
103,Chuy,UY,-33.6971,-53.4616,82.36,49,0,7.02,clear sky
104,Visby,SE,57.6409,18.296,55.06,94,90,18.41,overcast clouds
105,Yafran,LY,32.0633,12.5286,62.73,70,69,13.53,broken clouds
106,Lata,PT,40.1629,-8.3327,63.05,57,6,1.99,clear sky
107,Saint-Pierre,RE,-21.3393,55.4781,73.08,75,75,4.61,broken clouds
108,Chuguyevka,RU,44.1653,133.8633,39.34,98,99,4.18,overcast clouds
109,Avarua,CK,-21.2078,-159.775,71.65,88,90,4.61,light rain
110,Bograd,RU,54.2344,90.8328,30.9,57,100,0.65,overcast clouds
111,Dong Hoi,VN,17.4833,106.6,76.26,93,100,9.75,light rain
112,Elko,US,41.0002,-115.5012,51.82,72,56,11.01,broken clouds
113,Garissa,KE,-0.4536,39.6401,83.07,52,26,19.73,scattered clouds
114,Namibe,AO,-15.1961,12.1522,67.37,77,41,9.62,scattered clouds
115,Ust-Tarka,RU,55.5672,75.705,30.94,65,89,8.84,overcast clouds
116,Torbay,CA,47.6666,-52.7314,44.28,81,100,5.01,overcast clouds
117,Geraldton,AU,-28.7667,114.6,57.61,88,90,0.0,overcast clouds
118,Clyde River,CA,70.4692,-68.5914,28.72,82,100,4.56,overcast clouds
119,Iqaluit,CA,63.7506,-68.5145,32.7,80,78,3.0,broken clouds
120,Flin Flon,CA,54.7682,-101.865,44.89,85,100,1.5,overcast clouds
121,Cortland,US,42.6001,-76.083,56.12,72,1,6.91,clear sky
122,Leningradskiy,RU,69.3833,178.4167,9.75,93,100,20.54,light snow
