City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
318,Kalmunai,LK,79.14,overcast clouds,7.4167,81.8167,VS Villa
319,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
321,Lorengau,PG,81.45,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
324,Tremedal,BR,83.26,scattered clouds,-14.9758,-41.4108,Pousada Estillos
329,Monrovia,LR,83.97,scattered clouds,6.3005,-10.7969,Sunset Inn
333,Srandakan,ID,77.02,heavy intensity rain,-7.9386,110.2506,Puri Brata
339,Kundla,IN,78.8,scattered clouds,21.3333,71.3,Modh Brhaman Vidhyarthi Bhavan
343,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
346,Rawson,AR,79.65,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
351,Fonte Boa,BR,80.06,overcast clouds,-2.4959,-66.2662,
359,Keti Bandar,PK,79.83,clear sky,24.1447,67.4497,Haji laloo memon house
363,Dingle,PH,75.49,light rain,10.9995,122.6711,SEGAYA PROPERTY
364,Dhidhdhoo,MV,81.93,overcast clouds,6.8833,73.1,Dhidhoo beach
369,Sibolga,ID,76.19,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
383,Alyangula,AU,80.04,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
388,Singaraja,ID,79.97,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
390,Arraial Do Cabo,BR,76.86,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
392,Dicabisagan,PH,77.14,moderate rain,17.0818,122.4157,Nancy Montanes Bernardo
402,Hambantota,LK,78.17,overcast clouds,6.1241,81.1185,Bungalow 63
405,Kieta,PG,78.4,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
409,Auki,SB,77.56,scattered clouds,-8.7676,160.7034,Auki Motel
415,Trat,TH,75.13,overcast clouds,12.5,102.5,สวนหนิง-อัศ
417,Tumaco,CO,81.43,moderate rain,1.7986,-78.8156,Dafneruben
419,San Vicente,AR,83.88,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
420,Atar,MR,76.84,broken clouds,20.5169,-13.0499,Oumou Elghoura
422,Biak,ID,76.82,few clouds,-0.9131,122.8766,Penginapan Kim
424,Muisne,EC,84.31,overcast clouds,0.6,-80.0333,Quinta Samay
428,Porbandar,IN,81.34,clear sky,21.6422,69.6093,Lords Inn Porbandar
430,Doka,SD,82.02,few clouds,13.5167,35.7667,
432,Manggar,ID,79.79,light rain,-2.8833,108.2667,Guest Hotel
